Region;Units Sold
Sub-Saharan Africa;8293
North America;303
Sub-Saharan Africa;6088
Sub-Saharan Africa;2059
Asia;1658
Asia;360
Central America and the Caribbean;670
North America;7122
Australia and Oceania;1286
Sub-Saharan Africa;6758
Sub-Saharan Africa;4170
Sub-Saharan Africa;6183
Sub-Saharan Africa;2488
Europe;4809
Central America and the Caribbean;1902
Asia;4552
Europe;577
Europe;9825
Sub-Saharan Africa;9177
Sub-Saharan Africa;7543
Central America and the Caribbean;866
Sub-Saharan Africa;7119
Europe;1308
Europe;468
Asia;8667
Asia;2003
Sub-Saharan Africa;3607
Australia and Oceania;8639
Europe;9292
Sub-Saharan Africa;9790
Sub-Saharan Africa;1387
Middle East and North Africa;7370
Sub-Saharan Africa;8055
Europe;5793
Central America and the Caribbean;9961
Europe;1972
Europe;268
Europe;5323
Europe;4641
Middle East and North Africa;7758
Middle East and North Africa;1243
Sub-Saharan Africa;3693
Asia;739
Sub-Saharan Africa;41
Asia;6293
Middle East and North Africa;6217
Central America and the Caribbean;3568
Europe;4133
Sub-Saharan Africa;729
Middle East and North Africa;8205
North America;8441
Australia and Oceania;5347
Central America and the Caribbean;9866
Sub-Saharan Africa;4972
Europe;669
Europe;8994
Australia and Oceania;9015
Sub-Saharan Africa;1829
Europe;5566
Middle East and North Africa;389
Middle East and North Africa;3488
North America;4088
Australia and Oceania;8444
Asia;4842
Sub-Saharan Africa;8599
Middle East and North Africa;7063
Central America and the Caribbean;4616
Asia;7667
Asia;9659
Europe;6066
Sub-Saharan Africa;9393
Sub-Saharan Africa;4176
Central America and the Caribbean;1982
Europe;6409
Central America and the Caribbean;8089
Europe;9681
Central America and the Caribbean;879
Sub-Saharan Africa;3406
Sub-Saharan Africa;6016
Sub-Saharan Africa;9496
Central America and the Caribbean;1663
Sub-Saharan Africa;2367
Sub-Saharan Africa;8486
Sub-Saharan Africa;8932
Australia and Oceania;9648
Sub-Saharan Africa;8606
Central America and the Caribbean;812
Middle East and North Africa;3302
Asia;144
Europe;7436
Asia;8307
Europe;7919
Europe;8465
Australia and Oceania;4168
Europe;6283
North America;8095
Middle East and North Africa;9923
Sub-Saharan Africa;4116
Sub-Saharan Africa;52
Europe;9143
Asia;9831
Middle East and North Africa;2591
Asia;4927
Australia and Oceania;6374
Europe;3502
Sub-Saharan Africa;4907
Europe;6220
Sub-Saharan Africa;5103
Europe;6247
Asia;6376
Europe;9245
Central America and the Caribbean;640
Sub-Saharan Africa;3379
Asia;2310
Asia;9313
Europe;8299
North America;211
Central America and the Caribbean;8021
Middle East and North Africa;1737
Sub-Saharan Africa;3392
Europe;2055
Sub-Saharan Africa;8824
Australia and Oceania;1829
Middle East and North Africa;1231
Sub-Saharan Africa;4223
Asia;29
Australia and Oceania;4902
Sub-Saharan Africa;7130
Sub-Saharan Africa;2029
Australia and Oceania;6949
Europe;6269
Europe;6400
Europe;785
Sub-Saharan Africa;4897
Sub-Saharan Africa;1242
Australia and Oceania;4354
Europe;5803
Asia;9186
Central America and the Caribbean;5133
Asia;6305
Europe;2395
Asia;5127
Asia;3255
Europe;7565
Australia and Oceania;5875
Europe;8034
Sub-Saharan Africa;920
Sub-Saharan Africa;3447
Europe;1555
Asia;3218
Asia;3442
Middle East and North Africa;9262
Asia;4746
Sub-Saharan Africa;5993
Middle East and North Africa;6132
Sub-Saharan Africa;324
Europe;763
Asia;1671
Sub-Saharan Africa;4303
Australia and Oceania;1946
Sub-Saharan Africa;4916
Asia;5564
Middle East and North Africa;3267
Asia;9439
Sub-Saharan Africa;2520
Middle East and North Africa;2984
Sub-Saharan Africa;8338
Sub-Saharan Africa;8115
Central America and the Caribbean;8885
Asia;9246
Australia and Oceania;4827
Asia;3289
Sub-Saharan Africa;9326
Sub-Saharan Africa;9660
Asia;8046
Sub-Saharan Africa;272
Central America and the Caribbean;9153
Middle East and North Africa;9539
Sub-Saharan Africa;3310
Asia;4376
Europe;3680
Europe;4196
Asia;5929
Europe;914
Australia and Oceania;8219
Sub-Saharan Africa;8944
Sub-Saharan Africa;1216
Asia;5199
Europe;8084
Sub-Saharan Africa;9094
Australia and Oceania;4485
Sub-Saharan Africa;2543
Asia;8585
Sub-Saharan Africa;9960
Europe;1047
Central America and the Caribbean;8258
Europe;5036
Europe;6853
Asia;6215
Middle East and North Africa;7658
Asia;2749
Sub-Saharan Africa;5087
Central America and the Caribbean;5302
Sub-Saharan Africa;6054
Europe;7037
Europe;9974
Europe;3619
Australia and Oceania;8759
Europe;3212
Sub-Saharan Africa;6825
Sub-Saharan Africa;6480
Australia and Oceania;1086
Sub-Saharan Africa;6587
Europe;955
Europe;9197
Middle East and North Africa;8347
Asia;2474
Europe;7675
Europe;7082
Middle East and North Africa;5855
North America;6185
Middle East and North Africa;2298
Europe;5448
Europe;8921
North America;3034
Europe;137
Central America and the Caribbean;9608
Australia and Oceania;2859
North America;8333
Middle East and North Africa;6503
Europe;4874
Europe;2982
Australia and Oceania;7394
Europe;6709
Europe;6558
Europe;4600
Asia;5529
Sub-Saharan Africa;6069
Australia and Oceania;9973
Australia and Oceania;3028
Europe;8052
Europe;9893
Europe;431
Sub-Saharan Africa;3578
Europe;275
Asia;3496
Asia;3246
Australia and Oceania;1561
North America;7509
Sub-Saharan Africa;2189
North America;3729
Middle East and North Africa;2291
Australia and Oceania;5069
Europe;1284
Asia;7193
Sub-Saharan Africa;1081
Europe;8265
Sub-Saharan Africa;6095
Middle East and North Africa;8950
Asia;3242
Sub-Saharan Africa;2412
Australia and Oceania;1934
Middle East and North Africa;4313
Central America and the Caribbean;4086
Australia and Oceania;2820
North America;4113
Central America and the Caribbean;8595
Central America and the Caribbean;8928
Middle East and North Africa;4803
Australia and Oceania;7945
Sub-Saharan Africa;7108
Sub-Saharan Africa;3078
Sub-Saharan Africa;3674
Europe;8742
Asia;5164
Asia;1851
Europe;4744
Sub-Saharan Africa;1817
Australia and Oceania;8076
Europe;557
Middle East and North Africa;3326
Sub-Saharan Africa;2483
Sub-Saharan Africa;1157
Sub-Saharan Africa;4510
Sub-Saharan Africa;4733
Europe;6051
Asia;9719
Sub-Saharan Africa;9022
Europe;4277
Sub-Saharan Africa;7835
Asia;9074
Sub-Saharan Africa;9405
Europe;7271
Europe;3146
Europe;4535
Europe;973
Europe;9027
Central America and the Caribbean;7298
Asia;1414
Sub-Saharan Africa;9037
Central America and the Caribbean;4858
Sub-Saharan Africa;5603
Sub-Saharan Africa;5024
Middle East and North Africa;8910
Europe;76
Europe;3373
Asia;678
Europe;5905
Central America and the Caribbean;9994
Australia and Oceania;5920
Middle East and North Africa;3688
Central America and the Caribbean;5334
Middle East and North Africa;9924
Sub-Saharan Africa;8558
Europe;9366
Middle East and North Africa;2509
Sub-Saharan Africa;5179
Middle East and North Africa;6599
Europe;3026
Sub-Saharan Africa;2744
Central America and the Caribbean;1071
Central America and the Caribbean;5356
Middle East and North Africa;9978
North America;1350
Middle East and North Africa;2912
Central America and the Caribbean;140
Central America and the Caribbean;5537
Australia and Oceania;3640
Sub-Saharan Africa;6016
Europe;6264
Sub-Saharan Africa;5014
Europe;4927
Middle East and North Africa;5695
Europe;9042
Middle East and North Africa;3722
Europe;523
Europe;7260
Middle East and North Africa;3784
Europe;6974
Europe;5740
Asia;6026
Asia;5805
Central America and the Caribbean;81
Central America and the Caribbean;5892
Europe;7303
Europe;415
Middle East and North Africa;8357
Europe;6290
Australia and Oceania;6406
Sub-Saharan Africa;2929
Sub-Saharan Africa;7114
Europe;2247
Asia;8645
Middle East and North Africa;8658
Central America and the Caribbean;1664
Australia and Oceania;9076
Middle East and North Africa;9335
Europe;2915
Asia;7321
Europe;2089
Sub-Saharan Africa;3786
Australia and Oceania;1012
Sub-Saharan Africa;9395
Asia;6598
Asia;7312
Sub-Saharan Africa;8262
Sub-Saharan Africa;3201
North America;7917
Central America and the Caribbean;5226
Sub-Saharan Africa;9977
Sub-Saharan Africa;4050
Middle East and North Africa;1357
Sub-Saharan Africa;2839
Sub-Saharan Africa;1470
Middle East and North Africa;7255
Europe;2231
Sub-Saharan Africa;5464
Sub-Saharan Africa;8053
Europe;8129
Europe;5852
Europe;8414
Australia and Oceania;5040
North America;1983
Sub-Saharan Africa;7532
Sub-Saharan Africa;7001
Central America and the Caribbean;7741
Europe;4131
Asia;2583
Central America and the Caribbean;6538
Middle East and North Africa;1471
Australia and Oceania;9885
Europe;6318
Sub-Saharan Africa;2337
Middle East and North Africa;1540
Australia and Oceania;4558
Europe;4051
Middle East and North Africa;9711
Asia;3263
Sub-Saharan Africa;3461
Europe;1092
Asia;3972
Australia and Oceania;1951
Sub-Saharan Africa;1908
Sub-Saharan Africa;2755
Sub-Saharan Africa;433
Europe;2917
Middle East and North Africa;5211
Sub-Saharan Africa;4351
Sub-Saharan Africa;4406
Asia;1473
Sub-Saharan Africa;8682
Asia;1195
Europe;1203
Asia;2932
Central America and the Caribbean;7634
Asia;8597
Australia and Oceania;6138
Sub-Saharan Africa;2606
Middle East and North Africa;7380
Australia and Oceania;1871
Middle East and North Africa;4523
Sub-Saharan Africa;5808
Asia;3231
Europe;6330
Middle East and North Africa;1670
Europe;7850
Europe;502
Europe;7284
Central America and the Caribbean;2891
Australia and Oceania;4046
Australia and Oceania;4503
Australia and Oceania;48
Sub-Saharan Africa;3500
Asia;9706
Sub-Saharan Africa;547
Australia and Oceania;9934
Australia and Oceania;8808
Sub-Saharan Africa;145
Europe;3948
Asia;2253
Sub-Saharan Africa;4129
Asia;673
Europe;16
Central America and the Caribbean;2319
Europe;4774
Sub-Saharan Africa;6605
Sub-Saharan Africa;4066
Asia;5444
Europe;6057
Sub-Saharan Africa;3252
Europe;1410
Sub-Saharan Africa;6941
Asia;3289
Asia;5927
Europe;7359
Australia and Oceania;2122
Sub-Saharan Africa;1783
Middle East and North Africa;9942
Middle East and North Africa;7227
Europe;6299
Europe;6853
Central America and the Caribbean;609
Europe;6325
Europe;4786
Sub-Saharan Africa;3809
Sub-Saharan Africa;3243
Asia;9967
Asia;2894
Europe;7965
Asia;3154
Australia and Oceania;3465
Asia;5936
Australia and Oceania;4633
Sub-Saharan Africa;5655
Middle East and North Africa;2132
Sub-Saharan Africa;9225
Central America and the Caribbean;9126
Europe;6059
Europe;1280
Sub-Saharan Africa;8073
Australia and Oceania;6756
Europe;9679
Sub-Saharan Africa;6221
Asia;7792
Middle East and North Africa;2836
Asia;1826
Asia;2267
Europe;3696
Sub-Saharan Africa;2678
Sub-Saharan Africa;7814
Europe;4733
Asia;1096
Europe;1595
Asia;2955
Asia;8929
Europe;5305
Australia and Oceania;4899
Europe;2561
Sub-Saharan Africa;169
Sub-Saharan Africa;1636
Middle East and North Africa;7903
Australia and Oceania;1944
Sub-Saharan Africa;3765
Sub-Saharan Africa;5400
Europe;5919
Europe;6418
Europe;5029
Sub-Saharan Africa;1912
Middle East and North Africa;4259
Sub-Saharan Africa;1295
Middle East and North Africa;9274
Middle East and North Africa;6482
Sub-Saharan Africa;8237
Sub-Saharan Africa;1887
Central America and the Caribbean;1813
Europe;4424
Central America and the Caribbean;3165
Sub-Saharan Africa;3507
Sub-Saharan Africa;7957
Central America and the Caribbean;1051
Asia;4354
Middle East and North Africa;1468
Central America and the Caribbean;3020
Europe;1673
Europe;7119
Europe;1081
Australia and Oceania;2314
Middle East and North Africa;1605
Europe;6771
Sub-Saharan Africa;7660
Central America and the Caribbean;1152
Europe;6158
Middle East and North Africa;8622
Central America and the Caribbean;6516
Sub-Saharan Africa;4845
Europe;646
Europe;7986
Central America and the Caribbean;2963
Sub-Saharan Africa;8707
Sub-Saharan Africa;380
Asia;174
Sub-Saharan Africa;2312
Europe;8050
Europe;673
Australia and Oceania;499
Asia;9877
Central America and the Caribbean;8186
Europe;6838
Middle East and North Africa;4275
Europe;970
Asia;4428
North America;4187
Europe;6812
Europe;903
Asia;2089
Central America and the Caribbean;8032
Australia and Oceania;3424
Europe;4989
Middle East and North Africa;6481
Sub-Saharan Africa;3687
Middle East and North Africa;9423
Sub-Saharan Africa;8540
Sub-Saharan Africa;2916
Sub-Saharan Africa;6463
Central America and the Caribbean;122
Asia;6869
Australia and Oceania;6707
Sub-Saharan Africa;1673
Europe;834
Central America and the Caribbean;5288
Europe;3166
Middle East and North Africa;4629
Middle East and North Africa;6870
Sub-Saharan Africa;9110
Sub-Saharan Africa;7607
Europe;645
Europe;3543
Asia;3648
Sub-Saharan Africa;5341
Asia;5033
Middle East and North Africa;6166
Sub-Saharan Africa;4213
Europe;1681
Middle East and North Africa;3104
Middle East and North Africa;51
Europe;6119
Australia and Oceania;1939
North America;172
Sub-Saharan Africa;510
Asia;4677
Sub-Saharan Africa;1428
Europe;1549
Middle East and North Africa;2857
Central America and the Caribbean;5201
Asia;5461
Australia and Oceania;2548
Asia;2404
Europe;3003
North America;9350
Sub-Saharan Africa;8481
Sub-Saharan Africa;4463
Europe;3395
Europe;8407
North America;4660
Central America and the Caribbean;4346
Europe;1690
Europe;7945
Europe;6399
Australia and Oceania;7367
Sub-Saharan Africa;3200
Europe;3277
Central America and the Caribbean;9009
Europe;8838
Sub-Saharan Africa;3238
Middle East and North Africa;9714
Sub-Saharan Africa;7803
Middle East and North Africa;4071
Australia and Oceania;7116
Asia;2570
Middle East and North Africa;8093
Sub-Saharan Africa;8378
Central America and the Caribbean;148
Europe;7157
Europe;5193
North America;7073
Europe;7644
Sub-Saharan Africa;8788
Sub-Saharan Africa;4415
Australia and Oceania;5467
Middle East and North Africa;4918
Europe;2774
Sub-Saharan Africa;1070
Europe;8873
Australia and Oceania;7283
Sub-Saharan Africa;4429
Central America and the Caribbean;472
Middle East and North Africa;2605
Sub-Saharan Africa;51
Middle East and North Africa;9065
Sub-Saharan Africa;7933
Sub-Saharan Africa;1973
Middle East and North Africa;8533
Middle East and North Africa;1994
Sub-Saharan Africa;8766
Sub-Saharan Africa;2291
Central America and the Caribbean;8044
Asia;8529
Australia and Oceania;8283
Europe;8872
Europe;3895
Europe;3983
Sub-Saharan Africa;1796
Asia;7027
Australia and Oceania;1399
Europe;3667
Europe;4618
Asia;2069
Sub-Saharan Africa;5868
Sub-Saharan Africa;2896
Europe;2062
Asia;9311
Australia and Oceania;2615
Europe;6980
Europe;9440
Middle East and North Africa;4065
Europe;6952
Middle East and North Africa;1232
Europe;2065
Asia;1644
Asia;4193
Europe;966
Middle East and North Africa;5249
Asia;7360
North America;9648
Middle East and North Africa;1492
Sub-Saharan Africa;4304
Central America and the Caribbean;6526
Middle East and North Africa;8631
Europe;8125
Asia;4544
Australia and Oceania;4454
Central America and the Caribbean;6455
Asia;6177
Australia and Oceania;1280
Central America and the Caribbean;6457
Asia;8432
Sub-Saharan Africa;959
Asia;9825
Australia and Oceania;7847
Sub-Saharan Africa;9873
Sub-Saharan Africa;7785
Australia and Oceania;5491
Europe;3936
Europe;6093
Sub-Saharan Africa;1966
Sub-Saharan Africa;3592
Europe;38
Europe;2403
Australia and Oceania;8816
Asia;9440
Europe;1465
Australia and Oceania;4116
Sub-Saharan Africa;3648
Middle East and North Africa;8346
Central America and the Caribbean;3529
Central America and the Caribbean;6544
North America;1772
Sub-Saharan Africa;5624
Central America and the Caribbean;1542
Central America and the Caribbean;5000
Sub-Saharan Africa;8503
Sub-Saharan Africa;6586
Sub-Saharan Africa;818
Central America and the Caribbean;4796
Australia and Oceania;9152
Australia and Oceania;6545
Europe;6668
Sub-Saharan Africa;1245
Europe;9032
Central America and the Caribbean;813
Asia;4406
Sub-Saharan Africa;9660
Europe;3455
Asia;4702
Asia;9343
Sub-Saharan Africa;5352
Europe;7734
Australia and Oceania;3525
Sub-Saharan Africa;6793
Middle East and North Africa;3635
Australia and Oceania;7182
Europe;2595
Sub-Saharan Africa;2067
Sub-Saharan Africa;9820
Europe;7111
Asia;7224
Europe;478
Europe;9221
Asia;2833
Middle East and North Africa;2725
Sub-Saharan Africa;7339
Sub-Saharan Africa;7150
Central America and the Caribbean;9661
Europe;4410
Sub-Saharan Africa;7963
Europe;8919
Asia;2908
Sub-Saharan Africa;7591
Europe;7661
Europe;9841
Asia;7885
Sub-Saharan Africa;7581
Europe;1746
Europe;5228
Asia;9907
Asia;9693
Australia and Oceania;5531
Sub-Saharan Africa;393
Europe;4284
Sub-Saharan Africa;9240
Europe;4328
Sub-Saharan Africa;648
Middle East and North Africa;6329
Central America and the Caribbean;1532
Europe;3450
Asia;1306
Europe;1355
Sub-Saharan Africa;1884
Europe;8209
Australia and Oceania;7680
Australia and Oceania;4675
Central America and the Caribbean;5607
Europe;3918
Sub-Saharan Africa;5081
Central America and the Caribbean;1601
Central America and the Caribbean;8015
Asia;5889
Sub-Saharan Africa;8823
Europe;7445
Middle East and North Africa;4419
Sub-Saharan Africa;9435
Sub-Saharan Africa;4217
Middle East and North Africa;7521
Sub-Saharan Africa;132
Asia;9868
Sub-Saharan Africa;6577
Asia;7139
Sub-Saharan Africa;466
Asia;2500
Central America and the Caribbean;1214
Europe;1614
Central America and the Caribbean;735
Europe;2645
Europe;3442
Sub-Saharan Africa;6257
North America;6250
Europe;5614
Europe;8573
Central America and the Caribbean;6381
Asia;2325
Central America and the Caribbean;6721
Europe;1919
Asia;7299
Sub-Saharan Africa;4271
Asia;1278
Europe;8793
Sub-Saharan Africa;4322
Sub-Saharan Africa;7401
Central America and the Caribbean;4596
Middle East and North Africa;4507
Middle East and North Africa;2764
North America;7027
Europe;1990
Sub-Saharan Africa;4375
Europe;7937
Central America and the Caribbean;8463
Sub-Saharan Africa;8770
Asia;3707
Middle East and North Africa;5153
Europe;7020
Europe;251
Middle East and North Africa;7817
Sub-Saharan Africa;9726
Asia;8012
Central America and the Caribbean;1743
Europe;2018
Central America and the Caribbean;6966
Middle East and North Africa;6750
Sub-Saharan Africa;8560
Europe;1621
Asia;2188
Middle East and North Africa;8547
Asia;6015
Europe;1940
Europe;703
Central America and the Caribbean;8715
Middle East and North Africa;9419
Sub-Saharan Africa;8287
Europe;7825
North America;2568
Europe;4085
Middle East and North Africa;5974
Asia;8864
Central America and the Caribbean;5417
Europe;5326
Sub-Saharan Africa;313
Asia;9135
Asia;2576
Asia;8454
Asia;6619
Sub-Saharan Africa;3949
North America;9356
Middle East and North Africa;8782
Europe;202
Europe;8619
Middle East and North Africa;1070
Asia;1622
Europe;6375
Sub-Saharan Africa;8457
Sub-Saharan Africa;3030
Middle East and North Africa;2287
Middle East and North Africa;451
Sub-Saharan Africa;8777
Middle East and North Africa;550
Sub-Saharan Africa;6089
Middle East and North Africa;7742
Asia;4889
Middle East and North Africa;8941
Europe;8341
Asia;3562
Middle East and North Africa;2108
Middle East and North Africa;3517
Central America and the Caribbean;4355
Asia;3221
Europe;5745
Europe;9589
Europe;9444
Europe;2034
Australia and Oceania;1114
Europe;2470
Europe;8919
Sub-Saharan Africa;5311
Central America and the Caribbean;3525
Central America and the Caribbean;7472
Middle East and North Africa;8095
Central America and the Caribbean;8367
Europe;8293
Middle East and North Africa;9909
Sub-Saharan Africa;2283
Asia;6513
Asia;729
Sub-Saharan Africa;5092
Australia and Oceania;6795
Sub-Saharan Africa;5062
Sub-Saharan Africa;6146
Sub-Saharan Africa;8335
Australia and Oceania;6945
Sub-Saharan Africa;9326
Asia;9857
Central America and the Caribbean;4949
Asia;8044
Asia;4618
Middle East and North Africa;7173
Europe;247
Australia and Oceania;5406
Central America and the Caribbean;6250
Sub-Saharan Africa;3408
Asia;9541
Sub-Saharan Africa;4342
Sub-Saharan Africa;9535
Asia;3874
Europe;8145
Middle East and North Africa;166
Europe;9785
Central America and the Caribbean;3883
Europe;1370
Europe;8189
Europe;2314
Central America and the Caribbean;8748
Australia and Oceania;4530
Sub-Saharan Africa;3725
Europe;2432
Sub-Saharan Africa;3782
Sub-Saharan Africa;2936
Asia;2085
Asia;5454
Asia;4297
Europe;1901
Middle East and North Africa;8582
Europe;6690
Middle East and North Africa;5605
Sub-Saharan Africa;6737
Australia and Oceania;8529
Sub-Saharan Africa;1455
Central America and the Caribbean;3019
Central America and the Caribbean;2758
Central America and the Caribbean;7239
Sub-Saharan Africa;5060
Central America and the Caribbean;1852
Europe;5275
Europe;23
Asia;2818
North America;7415
Europe;9601
Asia;2194
Central America and the Caribbean;41
Australia and Oceania;5022
Sub-Saharan Africa;1049
Sub-Saharan Africa;9065
Asia;2042
Asia;9985
Europe;4931
Asia;5948
Sub-Saharan Africa;4133
North America;7617
Central America and the Caribbean;6560
Europe;8156
Asia;1627
Central America and the Caribbean;3229
Europe;1248
Sub-Saharan Africa;1001
Europe;9836
Sub-Saharan Africa;2135
Sub-Saharan Africa;4307
Asia;9795
Europe;4074
Middle East and North Africa;9646
Central America and the Caribbean;1050
Europe;9852
Asia;9651
Central America and the Caribbean;1077
Europe;6790
Europe;6484
Asia;1881
Middle East and North Africa;1738
Sub-Saharan Africa;6839
Europe;5003
Sub-Saharan Africa;6077
Europe;6942
Middle East and North Africa;6510
Central America and the Caribbean;721
Europe;7551
Sub-Saharan Africa;2003
Sub-Saharan Africa;1114
Sub-Saharan Africa;8952
Sub-Saharan Africa;1615
Sub-Saharan Africa;2232
Asia;5966
Sub-Saharan Africa;5007
Sub-Saharan Africa;3581
Europe;2942
Europe;6376
Sub-Saharan Africa;4200
Europe;8763
Europe;9446
Europe;7658
Europe;1843
Central America and the Caribbean;2473
Asia;7055
Middle East and North Africa;5124
Central America and the Caribbean;3247
Sub-Saharan Africa;24
Sub-Saharan Africa;1083
Europe;4086
Central America and the Caribbean;3726
Sub-Saharan Africa;6727
Middle East and North Africa;6842
Middle East and North Africa;9858
Sub-Saharan Africa;8593
Europe;7895
Europe;9644
Europe;7751
Central America and the Caribbean;3159
Central America and the Caribbean;8841
Sub-Saharan Africa;4802
Sub-Saharan Africa;3079
Europe;2738
Europe;4878
Asia;7629
Europe;1153
Sub-Saharan Africa;2641
Europe;1317
Europe;3437
Middle East and North Africa;7286
Sub-Saharan Africa;8181
Asia;3472
Europe;7538
Sub-Saharan Africa;6790
Asia;4671
Central America and the Caribbean;6654
Middle East and North Africa;5245
Sub-Saharan Africa;4979
Asia;7423
North America;6177
Europe;1870
Asia;7164
Asia;1750
Middle East and North Africa;7353
Europe;2727
Europe;8658
Central America and the Caribbean;2964
Asia;5494
Europe;3127
Asia;4774
Australia and Oceania;6378
Central America and the Caribbean;5913
Asia;8383
Sub-Saharan Africa;824
North America;7304
Asia;3922
Sub-Saharan Africa;3807
Europe;2121
Sub-Saharan Africa;1055
Sub-Saharan Africa;4834
Sub-Saharan Africa;4712
Sub-Saharan Africa;3976
Middle East and North Africa;2943
North America;3961
Central America and the Caribbean;6411
Asia;1704
Asia;8281
Europe;6617
Central America and the Caribbean;4216
Sub-Saharan Africa;615
Sub-Saharan Africa;2381
Australia and Oceania;8112
Middle East and North Africa;3439
Europe;6023
Sub-Saharan Africa;555
Europe;3761
Sub-Saharan Africa;9393
Europe;3240
Central America and the Caribbean;8117
Europe;8874
Sub-Saharan Africa;7391
Sub-Saharan Africa;7578
Europe;379
Middle East and North Africa;8766
Sub-Saharan Africa;2745
Middle East and North Africa;4351
Sub-Saharan Africa;2652
Europe;8748
Sub-Saharan Africa;767
Middle East and North Africa;8870
Middle East and North Africa;251
Asia;4132
Europe;6770
Asia;6448
Sub-Saharan Africa;8487
Sub-Saharan Africa;232
Asia;6066
Asia;2398
Middle East and North Africa;2672
Asia;2360
Europe;3968
Sub-Saharan Africa;2032
Sub-Saharan Africa;8119
Asia;5828
Europe;5789
Central America and the Caribbean;663
Sub-Saharan Africa;142
Europe;5949
Central America and the Caribbean;6841
Australia and Oceania;3602
Sub-Saharan Africa;4051
North America;8036
Europe;2436
Asia;6164
Europe;5160
Sub-Saharan Africa;7400
Europe;7887
Central America and the Caribbean;3659
Europe;8782
Europe;9355
Australia and Oceania;8507
Sub-Saharan Africa;1401
Sub-Saharan Africa;228
Sub-Saharan Africa;9212
Europe;9608
Asia;4702
Sub-Saharan Africa;4811
Sub-Saharan Africa;2285
Sub-Saharan Africa;6502
Sub-Saharan Africa;8874
Sub-Saharan Africa;7844
Europe;3885
Middle East and North Africa;4502
Central America and the Caribbean;9231
Australia and Oceania;4639
Asia;9326
Central America and the Caribbean;8920
Central America and the Caribbean;1084
Asia;509
Middle East and North Africa;3920
Central America and the Caribbean;5070
Europe;9746
Europe;766
Europe;2979
Europe;8263
Middle East and North Africa;530
Europe;723
Australia and Oceania;1815
North America;3812
Sub-Saharan Africa;8748
Europe;5692
Middle East and North Africa;5743
Europe;7029
Asia;9713
Sub-Saharan Africa;986
Central America and the Caribbean;73
Europe;3227
Sub-Saharan Africa;8736
Australia and Oceania;1917
Europe;118
Australia and Oceania;7719
Europe;1132
Europe;3798
Europe;1191
Europe;5817
Asia;2211
Europe;1941
Sub-Saharan Africa;8605
Middle East and North Africa;2833
Europe;7287
Central America and the Caribbean;1658
Sub-Saharan Africa;7671
Sub-Saharan Africa;4080
North America;1672
Middle East and North Africa;8263
Asia;3703
Central America and the Caribbean;4871
Middle East and North Africa;678
Sub-Saharan Africa;7067
Sub-Saharan Africa;2012
Sub-Saharan Africa;517
Central America and the Caribbean;9619
Europe;3384
Sub-Saharan Africa;7912
Middle East and North Africa;6332
Middle East and North Africa;3806
Sub-Saharan Africa;2526
Australia and Oceania;6715
Sub-Saharan Africa;7628
Europe;8552
Europe;9804
Asia;3733
Middle East and North Africa;9718
Sub-Saharan Africa;9170
Europe;532
Europe;4278
Sub-Saharan Africa;7913
Europe;972
Middle East and North Africa;23
Middle East and North Africa;3665
Asia;7527
Sub-Saharan Africa;9270
Europe;3588
Asia;7204
Europe;3871
Europe;9378
Europe;6541
Europe;208
Asia;2260
Sub-Saharan Africa;6607
Europe;4193
Sub-Saharan Africa;7990
Europe;8004
Middle East and North Africa;6270
Sub-Saharan Africa;1857
Asia;5863
Middle East and North Africa;6417
Asia;3680
Europe;4846
Middle East and North Africa;9138
Europe;2810
Sub-Saharan Africa;4149
Asia;8472
Europe;3129
Sub-Saharan Africa;2497
Sub-Saharan Africa;2990
Central America and the Caribbean;8048
Australia and Oceania;3147
Central America and the Caribbean;790
Europe;5514
Europe;8887
Europe;4506
Middle East and North Africa;3002
Asia;7035
Europe;6300
Middle East and North Africa;2517
Middle East and North Africa;4444
Middle East and North Africa;2866
Sub-Saharan Africa;5600
Central America and the Caribbean;2494
Sub-Saharan Africa;430
Europe;8318
Middle East and North Africa;2099
Middle East and North Africa;9749
Europe;6272
Central America and the Caribbean;8703
Europe;1111
Middle East and North Africa;9594
Europe;7282
Sub-Saharan Africa;9336
Australia and Oceania;7948
Middle East and North Africa;7342
Europe;8773
Sub-Saharan Africa;5528
Asia;7922
Europe;8306
Central America and the Caribbean;6058
North America;2591
Asia;6346
Europe;7797
Central America and the Caribbean;4449
Asia;5838
Central America and the Caribbean;8532
Europe;1128
Sub-Saharan Africa;9258
Asia;582
Sub-Saharan Africa;9792
Asia;3613
Middle East and North Africa;5798
Sub-Saharan Africa;2135
Europe;5440
Central America and the Caribbean;562
Sub-Saharan Africa;9382
Europe;5809
Europe;787
Europe;7290
Europe;5321
Sub-Saharan Africa;6918
Europe;1147
Asia;9107
Australia and Oceania;8929
Asia;773
Australia and Oceania;1831
Sub-Saharan Africa;1328
Central America and the Caribbean;5518
Sub-Saharan Africa;2687
Europe;8153
Middle East and North Africa;9264
Sub-Saharan Africa;400
Asia;7973
Sub-Saharan Africa;5424
Europe;8228
Sub-Saharan Africa;8889
Sub-Saharan Africa;1943
Asia;8958
Middle East and North Africa;3532
Europe;6295
Sub-Saharan Africa;9909
Europe;4066
Central America and the Caribbean;489
North America;7933
Australia and Oceania;7185
Middle East and North Africa;6061
Europe;4411
Sub-Saharan Africa;9114
Europe;9082
Sub-Saharan Africa;256
Europe;611
Sub-Saharan Africa;5152
